MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
24247395,ATTACHD,RES,RESALE,3329.25,6657 SE ARIEL ST,Hillsboro,97123,152,3,2.1,2,1382,307,307,"3K-4,999SF",7/22/2024,3,3,7/19/2024,"$425,000 ",8/28/2024,"$425,000 ",1999,,1,1,"CASH, CONV, FHA, VA"
24278921,ATTACHD,RES,RESALE,4408.84,2867 SE BROOKWOOD AVE,Hillsboro,97123,152,4,3,2,1600,259,265,"0-2,999SF",3/14/2024,1,1,3/13/2024,"$415,000 ",4/5/2024,"$425,000 ",2018,0,2,1,"CASH, CONV"
24283354,ATTACHD,RES,RESALE,4107.62,3762 SE CENTIFOLIA AVE,Hillsboro,97123,152,3,2.1,2,1520,282,279,"0-2,999SF",8/30/2024,22,22,8/8/2024,"$429,900 ",9/26/2024,"$425,000 ",2018,259,2,1,"CASH, CONV, FHA, VA"
24292786,DETACHD,RES,RESALE,4243.15,519 WILLAMINA AVE,Forest Grove,97116,152,3,2,1,1318,322,322,"7K-9,999SF",4/21/2024,31,31,3/21/2024,"$425,000 ",4/23/2024,"$425,000 ",1994,,2,1,"CASH, CONV, FHA, USDA, VA"
24299948,ATTACHD,RES,RESALE,3426.59,6703 SE ARIEL ST,Hillsboro,97123,152,3,2.1,2,1382,307,307,"3K-4,999SF",12/2/2024,17,17,11/15/2024,"$424,900 ",12/20/2024,"$425,000 ",1999,,1,1,"CASH, CONV, FHA"
24389601,ATTACHD,RES,RESALE,2765.36,6035 NE ALDER ST,Hillsboro,97124,152,3,2.2,3,1593,279,266,"0-2,999SF",4/28/2024,9,9,4/19/2024,"$444,900 ",5/10/2024,"$425,000 ",2003,317,2,1,"CASH, CONV, FHA, VA"
24462864,ATTACHD,RES,RESALE,3370.67,1304 S QUARTZ DR,Cornelius,97113,152,3,2.1,2,1548,273,274,"0-2,999SF",3/14/2024,2,2,3/12/2024,"$424,000 ",4/16/2024,"$425,000 ",2021,126,1,1,"CASH, CONV, FHA, VA"
24601199,ATTACHD,RES,RESALE,3351.67,349 W MAIN ST,Hillsboro,97123,152,3,3.1,3,1504,289,282,"0-2,999SF",7/25/2024,15,15,7/10/2024,"$435,000 ",9/3/2024,"$425,000 ",2005,185,1,1,"CASH, CONV, FHA, VA"
24673372,ATTACHD,RES,RESALE,3699.56,7040 SE FRASIER LN,Hillsboro,97123,152,2,2.1,2,1389,305,305,"0-2,999SF",5/25/2024,59,59,3/27/2024,"$425,000 ",6/27/2024,"$425,000 ",2021,240,1,,"CASH, CONV, FHA"
157435894,DETACHD,RES,RESALE,3323.88,878 NE THOMAS CT,Hillsboro,97124,152,3,2,1,1256,298,338,"10K-14,999SF",5/19/2025,3,3,5/16/2025,"$375,000 ",6/12/2025,"$425,000 ",1990,,2,1,"CASH, CONV"
642362504,ATTACHD,RES,NEW,0,8457 SE Kinnaman ST #1149,Hillsboro,97124,152,3,2.1,2,1348,327,315,"0-2,999SF",2/24/2025,31,31,1/24/2025,"$441,354 ",3/28/2025,"$425,000 ",2024,240,1,,"CASH, CONV, FHA, VA"
24604730,ATTACHD,RES,NEW,0,8062 SE CRESCENT DR,Hillsboro,97123,152,3,2.1,2,1612,263,263,"0-2,999SF",12/30/2024,98,98,9/23/2024,"$425,400 ",1/31/2025,"$425,400 ",2024,250,2,,"CASH, CONV, FHA, VA"
24093640,ATTACHD,RES,RESALE,4091.94,2133 NE CADBURY AVE,Hillsboro,97006,152,2,2.1,3,1518,283,280,"0-2,999SF",3/26/2024,34,34,2/21/2024,"$430,000 ",4/26/2024,"$425,500 ",2004,290,2,1,"CASH, CONV, FHA, VA"
24227947,ATTACHD,RES,RESALE,3680.98,851 S 24TH AVE,Cornelius,97113,152,3,2.1,2,1623,267,262,"0-2,999SF",6/28/2024,22,22,6/6/2024,"$434,900 ",7/31/2024,"$425,900 ",2020,125,1,,"CASH, CONV, FHA, USDA, VA"
23321497,DETACHD,RES,RESALE,3310.79,496 SE HEATHCLIFF LN,Hillsboro,97123,152,3,2.1,2,1618,259,263,"0-2,999SF",9/15/2023,8,8,9/7/2023,"$420,000 ",10/6/2023,"$426,000 ",2004,314,1,1,"CASH, CONV, FHA, VA"
24266501,DETACHD,RES,APPROX,3073.33,575 SE 11TH PL,Hillsboro,97123,152,3,1,1,1260,338,338,"7K-9,999SF",8/13/2024,0,0,8/13/2024,"$426,000 ",8/13/2024,"$426,000 ",1956,,2,1,"CASH, CONV"
24130828,ATTACHD,RES,NEW,85.94,3521 SE Everwood LN,Hillsboro,97123,152,2,2.1,3,1536,277,277,"0-2,999SF",7/30/2024,4,4,7/26/2024,"$426,950 ",8/16/2024,"$426,950 ",2024,172,1,,"CASH, CONV, FHA, VA"
24262472,DETACHD,RES,FIXER,3008.98,584 SE 12TH AVE,Hillsboro,97123,152,3,1.1,1,1267,295,337,"7K-9,999SF",10/22/2024,138,138,6/6/2024,"$375,000 ",11/21/2024,"$427,000 ",1956,,2,1,"CASH, CONV"
23487815,ATTACHD,RES,NEW,0,1404 S Quartz DR LT533,Cornelius,97113,152,3,2.1,2,1520,280,280,"0-2,999SF",10/9/2023,142,,5/20/2023,"$427,012 ",1/2/2024,"$427,012 ",2024,126,1,,"CASH, CONV, FHA, USDA, VA"
23325698,DETACHD,RES,RESALE,3840.88,2968 26TH AVE,Forest Grove,97116,152,3,2.1,2,1487,282,287,"0-2,999SF",4/18/2024,14,14,4/4/2024,"$419,995 ",7/2/2024,"$427,195 ",2013,36,1,,"CASH, CONV, FHA, USDA, VA"
678043413,ATTACHD,RES,NEW,490.76,3292 SE EQUINOX LN,Hillsboro,97123,152,3,2.1,2,1542,277,277,"0-2,999SF",3/7/2025,1,1,3/6/2025,"$427,900 ",3/31/2025,"$427,900 ",2025,269,2,,"CASH, CONV, FHA, VA"
23325945,ATTACHD,RES,RESALE,2670.4,2203 SW TRACHSEL DR,Beaverton,97003,152,3,2.1,2,1484,286,288,"0-2,999SF",1/15/2024,48,48,11/28/2023,"$425,000 ",1/23/2024,"$428,000 ",1995,,1,1,"CASH, CONV, VA"
361754806,ATTACHD,RES,NEW,799.36,3334 SE HAMMOCK LN,Hillsboro,97123,152,2,2.1,3,1536,278,278,"0-2,999SF",4/30/2025,12,12,4/18/2025,"$427,950 ",5/30/2025,"$428,000 ",2025,172,1,,"CASH, CONV, FHA, VA"
23656146,ATTACHD,RES,NEW,0,2730 S Nectarine ST LT537,Cornelius,97113,152,3,2.1,2,1520,282,281,"0-2,999SF",4/18/2023,0,,4/18/2023,"$429,140 ",11/9/2023,"$428,180 ",2023,119,1,,"CASH, CONV, FHA, USDA, VA"
23569895,DETACHD,RES,RESALE,2975.08,2626 PRINCETON PL,Forest Grove,97116,152,3,2.1,2,1328,315,323,"0-2,999SF",6/28/2023,15,39,6/13/2023,"$419,000 ",7/21/2023,"$429,000 ",2014,30,1,1,"CASH, CONV, FHA, VA"
24071126,DETACHD,RES,RESALE,3263.07,2421 BOYD LN,Forest Grove,97116,152,3,2.1,2,1474,291,291,"0-2,999SF",7/24/2024,67,67,5/18/2024,"$429,999 ",9/30/2024,"$429,000 ",2011,25,2,1,"CASH, CONV, FHA"
24513844,ATTACHD,RES,NEW,85.94,3323 SE White Oak AVE,Hillsboro,97123,152,2,2.1,3,1536,279,279,"0-2,999SF",8/1/2024,2,2,7/30/2024,"$429,000 ",9/30/2024,"$429,000 ",2024,172,1,,"CASH, CONV, FHA, VA"
575383029,ATTACHD,RES,RESALE,4112.49,8083 SE VERMONT ST,Hillsboro,97123,152,3,2.1,2,1520,282,282,"0-2,999SF",4/14/2025,17,17,3/28/2025,"$429,000 ",5/16/2025,"$429,000 ",2021,232,2,1,"CASH, CONV, FHA, VA"
702654673,ATTACHD,RES,RESALE,3637.37,3206 SE BLUE BIRD DR,Hillsboro,97123,152,4,3.1,2,1626,263,263,"0-2,999SF",4/9/2025,5,5,4/4/2025,"$429,000 ",5/7/2025,"$429,000 ",2001,270,2,1,"CASH, CONV, FHA, VA"
708463585,ATTACHD,RES,RESALE,3645.8,561 NE NATALIE ST,Hillsboro,97124,152,3,2.1,2,1428,294,300,"3K-4,999SF",4/22/2025,5,5,4/17/2025,"$419,900 ",5/9/2025,"$429,000 ",1999,,1,1,"CASH, CONV, FHA, VA"
352718967,ATTACHD,RES,RESALE,3721.71,3168 SE BLUE BIRD DR,Hillsboro,97123,152,4,3.1,2,1626,261,264,"0-2,999SF",4/15/2025,19,19,3/27/2025,"$425,000 ",5/16/2025,"$429,770 ",2001,270,2,1,"CASH, CONV, FHA, VA"
23223840,ATTACHD,RES,RESALE,3151.34,3180 SE WEDGEWOOD AVE,Hillsboro,97123,152,4,2.1,3,1856,228,231,"0-2,999SF",2/6/2024,55,55,12/13/2023,"$424,900 ",3/5/2024,"$429,900 ",2009,205,2,1,"CASH, CONV, FHA, VA"
24146617,RES-MFG,RES,RESALE,3451.41,1293 NE 17TH AVE,Hillsboro,97124,152,3,2,1,1504,285,285,"7K-9,999SF",4/10/2024,6,6,4/4/2024,"$429,900 ",5/7/2024,"$429,900 ",1994,,2,0,"CASH, CONV, FHA, VA"
